kegg_drug,drug_name,match_type,plant_ids,pubchem_cids,plant_names,plant_names_ar,atc_codes,atc_class,confidence,primary_drug_name,synonyms,plant_ids_list,plant_names_list,plant_names_ar_list,atc_codes_clean,atc_codes_list
D02004,Apomorphine hydrochloride (USP); Apomorphine hydrochloride hydrate (JAN); Apokyn (TN); Ixense (TN); Uprima (TN),partial,P10,,Papaver somniferum,خشخاش منوم,G04BE07;N04BC07,الجهاز البولي التناسلي;الجهاز العصبي,medium,Apomorphine hydrochloride,Apomorphine hydrochloride hydrate; Apokyn; Ixense; Uprima,['P10'],['Papaver somniferum'],['خشخاش منوم'],G04BE07;N04BC07,"['G04BE07', 'N04BC07']"
D02028,Diammonium glycyrrhizinate (JAN),partial,P18,,Glycyrrhiza glabra,عرق سوس,,,medium,Diammonium glycyrrhizinate,,['P18'],['Glycyrrhiza glabra'],['عرق سوس'],Unclassified,['Unclassified']
D02069,Atropine sulfate (JP19/USP); Ryjusea (TN),exact,P06,,Atropa belladonna,ست الحسن,A03BA01;S01FA01,الجهاز الهضمي والأيض;الحواس,high,Atropine sulfate,Ryjusea,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BA01;S01FA01,"['A03BA01', 'S01FA01']"
D02069,Atropine sulfate (JP19/USP); Ryjusea (TN),exact,P08,,Datura stramonium,داتورة,A03BA01;S01FA01,الجهاز الهضمي والأيض;الحواس,high,Atropine sulfate,Ryjusea,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BA01;S01FA01,"['A03BA01', 'S01FA01']"
D02070,Homatropine methylbromide (USP); Equipin (TN),partial,P06,,Atropa belladonna,ست الحسن,A03BB06;S01FA05,الجهاز الهضمي والأيض;الحواس,low,Homatropine methylbromide,Equipin,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BB06;S01FA05,"['A03BB06', 'S01FA05']"
D02070,Homatropine methylbromide (USP); Equipin (TN),partial,P08,,Datura stramonium,داتورة,A03BB06;S01FA05,الجهاز الهضمي والأيض;الحواس,low,Homatropine methylbromide,Equipin,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",A03BB06;S01FA05,"['A03BB06', 'S01FA05']"
D02071,Scopolamine hydrobromide (USP); Scopolamine hydrobromide hydrate (JP19); Scopolamine hydrobromide trihydrate; Hysco (TN); Isopto hyoscine (TN),exact,P07,,Hyoscyamus muticus,سكران مصري,A04AD01;N05CM05;S01FA02,الجهاز العصبي;الجهاز الهضمي والأيض;الحواس,high,Scopolamine hydrobromide,Scopolamine hydrobromide hydrate; Scopolamine hydrobromide trihydrate; Hysco; Isopto hyoscine,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",A04AD01;N05CM05;S01FA02,"['A04AD01', 'N05CM05', 'S01FA02']"
D02071,Scopolamine hydrobromide (USP); Scopolamine hydrobromide hydrate (JP19); Scopolamine hydrobromide trihydrate; Hysco (TN); Isopto hyoscine (TN),exact,P08,,Datura stramonium,داتورة,A04AD01;N05CM05;S01FA02,الجهاز العصبي;الجهاز الهضمي والأيض;الحواس,high,Scopolamine hydrobromide,Scopolamine hydrobromide hydrate; Scopolamine hydrobromide trihydrate; Hysco; Isopto hyoscine,"['P07', 'P08']","['Hyoscyamus muticus', 'Datura stramonium']","['سكران مصري', 'داتورة']",A04AD01;N05CM05;S01FA02,"['A04AD01', 'N05CM05', 'S01FA02']"
D02101,Codeine phosphate (USP); Codeine phosphate hydrate (JP19),exact,P10,,Papaver somniferum,خشخاش منوم,R05DA04,الجهاز التنفسي,high,Codeine phosphate,Codeine phosphate hydrate,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05DA04,['R05DA04']
D02128,Difenoxin hydrochloride and atropine sulfate; Motofen (TN),partial,P06,,Atropa belladonna,ست الحسن,,,medium,Difenoxin hydrochloride and atropine sulfate,Motofen,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D02128,Difenoxin hydrochloride and atropine sulfate; Motofen (TN),partial,P08,,Datura stramonium,داتورة,,,medium,Difenoxin hydrochloride and atropine sulfate,Motofen,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D02146,Acetaminophen and codeine phosphate; Tylenol w/codeine (TN),partial,P10,,Papaver somniferum,خشخاش منوم,N02AJ06,الجهاز العصبي,medium,Acetaminophen and codeine phosphate,Tylenol w/codeine,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AJ06,['N02AJ06']
D02197,Vincristine sulfate (JP19/USP); VCR; Marqibo (TN); Oncovin (TN); Vincasar (TN); Vincrex (TN),exact,P01,,Catharanthus roseus,ونكة مدغشقرية,L01CA02,الأورام والمناعة,high,Vincristine sulfate,VCR; Marqibo; Oncovin; Vincasar; Vincrex,['P01'],['Catharanthus roseus'],['ونكة مدغشقرية'],L01CA02,['L01CA02']
D02205,Ethylmorphine hydrochloride hydrate (JP19); Ethylmorphine hydrochloride dihydrate,partial,P10,,Papaver somniferum,خشخاش منوم,R05DA01;S01XA06,الجهاز التنفسي;الحواس,low,Ethylmorphine hydrochloride hydrate,Ethylmorphine hydrochloride dihydrate,['P10'],['Papaver somniferum'],['خشخاش منوم'],R05DA01;S01XA06,"['R05DA01', 'S01XA06']"
D02264,Dipotassium glycyrrhizinate (JAN); Glycyrrhizinate dipotassium; Neubormitin (TN),partial,P18,,Glycyrrhiza glabra,عرق سوس,,,medium,Dipotassium glycyrrhizinate,Glycyrrhizinate dipotassium; Neubormitin,['P18'],['Glycyrrhiza glabra'],['عرق سوس'],Unclassified,['Unclassified']
D02271,Morphine hydrochloride hydrate (JP19); Morphine hydrochloride trihydrate; Anpec (TN),exact,P10,,Papaver somniferum,خشخاش منوم,N02AA01,الجهاز العصبي,high,Morphine hydrochloride hydrate,Morphine hydrochloride trihydrate; Anpec,['P10'],['Papaver somniferum'],['خشخاش منوم'],N02AA01,['N02AA01']
D02273,"Isoproterenol sulfate, dexamethasone and atropine methybromide; Stmerin D (TN)",partial,P06,,Atropa belladonna,ست الحسن,,,medium,"Isoproterenol sulfate, dexamethasone and atropine methybromide",Stmerin D,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D02273,"Isoproterenol sulfate, dexamethasone and atropine methybromide; Stmerin D (TN)",partial,P08,,Datura stramonium,داتورة,,,medium,"Isoproterenol sulfate, dexamethasone and atropine methybromide",Stmerin D,"['P06', 'P08']","['Atropa belladonna', 'Datura stramonium']","['ست الحسن', 'داتورة']",Unclassified,['Unclassified']
D02377,Anethole (NF),exact,P14,,Foeniculum vulgare,شمر,,,high,Anethole,,['P14'],['Foeniculum vulgare'],['شمر'],Unclassified,['Unclassified']
D02481,Artemisinin (INN); Qing Hau Sau,exact,P11,,Artemisia annua,الشيح الحولي,P01BE01,الطفيليات,high,Artemisinin,Qing Hau Sau,['P11'],['Artemisia annua'],['الشيح الحولي'],P01BE01,['P01BE01']
D02587,Metildigoxin (JP19); Lanirapid (TN),partial,P09,,Digitalis lanata,ديجيتال,C01AA08,القلب والأوعية,medium,Metildigoxin,Lanirapid,['P09'],['Digitalis lanata'],['ديجيتال'],C01AA08,['C01AA08']
